,No. of Robots : 1,,,,,,,
Item No.,PART,Specification/ Unit,TYPE,MANUFACTURER, Mfg. Product No. / SKU,Source,Total Quantity Required,Additional Notes
Motor Module,,,,,,,,
1,AK80-9 Motors,"48V, 9Nm, 390RPM",Electronics,TMotor,,T-Motor,12,
2,Gebru,see schematic,Electronics,,,Custom Order,12,
3,Cortes,see schematic,Electronics,,,Custom Order,12,
4,Ada,see schematic,Electronics,,,Custom Order,12,
5,Heat Sinks,Aluminum 7075,Machined,,,Custom Order,12,
6,Ada Separator,Acetal Copolymer (POM-C),Machined,,,Custom Order,12,
7,Thermal Pad,"Silicone Elastomer, 2mm thickness",Other,DigiKey,5595S-210MMX300MM,DigiKey,1,Cut to size.
8,Thermal Paste,0.864 w/m-k,Other,McMaster,1688N12,McMaster,1,
Tri-Motor,,,,,,,,
9,Hip Bracket,Aluminum 7075,Machined,,,Custom Order,4,
10,Knee Bracket (Left),Aluminum 7075,Machined,,,Custom Order,2,
11,Knee Bracket (Right),Aluminum 7075,Machined,,,Custom Order,2,
12,Abduction HardStop,Aluminum 7075,Machined,,,Custom Order,4,
13,Hip HardStop,Aluminum 7075,Machined,,,Custom Order,4,
14,Cleats,Stainless Steel 17-4 PH,Machined,,,Custom Order,48,
15,Hip Cover,HP PA 11 (nylon),3D Printed,,,Custom Order,4,
16,Hip Cover Clamps,HP PA 11 (nylon),3D Printed,,,Custom Order,8,
17,Knee Cable Cover Top,HP PA 11 (nylon),3D Printed,,,Custom Order,4,
18,Knee Cable Cover Bottom,HP PA 11 (nylon),3D Printed,,,Custom Order,4,
19,Thrust Bushing,PTFE,Machined,,,Custom Order,4,
20,Wrap-Around Sleeving,"1/2"" ID, 10ft cut to length",Hardware,McMaster,1459T818,McMaster,1,
21,Hip-Power-Distro,See cable drawing,Wiring,,,Custom Order,4,
22,Fei-Fei_to_A+H_RE,See cable drawing,Wiring,,,Custom Order,2,
23,Fei-Fei_to_A+H_FR,See cable drawing,Wiring,,,Custom Order,2,
24,NUC_ECAT_TORSO,See cable drawing,Wiring,,,Custom Order,1,
25,A2H_ECAT,See cable drawing,Wiring,,,Custom Order,4,
26,H2K_ECAT,See cable drawing,Wiring,,,Custom Order,4,
27,K2H_COVER_ECAT,See cable drawing,Wiring,,,Custom Order,4,
28,Hip-Return-SS-Ecat,See cable drawing,Wiring,,,Custom Order,2,
29,Hip_Return_OS_ECAT,See cable drawing,Wiring,,,Custom Order,2,
