Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Barkour Robot\Cortes\Project Outputs for Cortes\Pick Place\Pick Place for Cortes.txt

========================================================================================================================
File Design Information:

Date:       09/05/24
Time:       10:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                          Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description
R88        DNP                              TopLayer    FP-CRCW0402-e3-IPC_C             -399.384      1941.699      180      "RES Thick Film, 0O, 0.063W, 0402"
R87        ""                               TopLayer    R0402                            -1080.000     1460.000      180      "RES, 0, JUMPER, 1/16W, 0402"
R86        ""                               TopLayer    R0402                            -1080.000     1495.000      180      "RES, 0, JUMPER, 1/16W, 0402"
R85        ""                               TopLayer    R0402                            -1080.000     1530.000      180      "RES, 0, JUMPER, 1/16W, 0402"
R84        ""                               BottomLayer R0201                            -1085.000     1495.000      0        "Resistor, 2.20K Ohms, 0201, 0.05W, ±1%"
R83        ""                               BottomLayer R0201                            -1085.000     1530.000      0        "Resistor, 2.20K Ohms, 0201, 0.05W, ±1%"
D23        24V                              BottomLayer 3SOT23                           275.000       1365.000      0        "DIODE, TVS, UNIDIR, DUAL, 24VRWM, 26VBR, 41VCL, SOT-23-3"
J6         SAMTEC_FLE-104-01-G-DV-TR        TopLayer    SAMTEC_FLE-104-01-G-DV-TR        285.000       1325.000      0        "CONN RCPT .05" 8POS DUAL SMD"
R82        ""                               TopLayer    R0805                            -1360.000     1035.000      180      "Resistor, 432K Ohms, 0805, 0.125W, ±1%"
R81        ""                               TopLayer    R0805                            -945.000      -1445.000     180      "Resistor, 432K Ohms, 0805, 0.125W, ±1%"
C103       __Template_Cap                   TopLayer    C0402                            -1390.000     960.000       0        "CAP, CER, X7R, 0.01uF, 50V, 20%, 0402, 0.56mm T"
C102       __Template_Cap                   TopLayer    C0402                            -950.000      -1375.000     0        "CAP, CER, X7R, 0.01uF, 50V, 20%, 0402, 0.56mm T"
C101       __Template_Cap                   BottomLayer C1210_H2.7mm                     -1530.000     -250.000      270      "CAP, CER, X5R, 10uF, 50V, 20%, 1210"
R80        ""                               TopLayer    R0402                            -1725.000     -135.000      90       "RES, 0, JUMPER, 1/16W, 0402"
R79        ""                               TopLayer    R0402                            495.000       1825.000      90       "RES, 0, JUMPER, 1/16W, 0402"
L2         COILCRAFT_LPS3015-473            TopLayer    IND_LPS3015-152MRB               665.000       1875.000      90       "COILCRAFT   LPS3015-473MRB   INDUCTOR, SHLD, 47UH, 20%, 0.3A, SMD"
D24        __Template_DIODE_SCHOTTKY        TopLayer    SOD-123_H1.35MM                  810.000       1725.000      270      "DIODE, SCHOTTKY, 30V VRRM, 1A IO, 12A SURGE, SOD-123"
R78        ""                               TopLayer    R0201                            -1955.000     -405.000      0        "RES, 3.24K, 1%, 1/20W, 0201"
R77        ""                               TopLayer    R0201                            -1940.000     -515.000      0        "Resistor, 13.3K Ohms, 0201, 0.05W, ±1%"
L3         BOURNS_SRR1050A-180Y             TopLayer    INDP100100X51N                   -1465.000     -400.000      0        "FIXED IND 18UH 3.1A 51 MOHM SMD"
D25        __Template_Diode_Schottky_A/K    TopLayer    DO-220AA_A/K                     -1808.750     -575.000      180      "DIODE, SCHOTTKY, 60V, 3A, DO220AA"
C100       __Template_Cap                   TopLayer    C0402                            -1965.000     -580.000      270      "CAP, CER, X7R, 3900pF, 50V, 10%, 0402, 0.56mm T"
C99        __Template_Cap                   TopLayer    C0201Y                           -1925.000     -570.000      90       "CAP, CER, NP0, 10pf, 50V, 5%, 0201, 0.33mm T"
C98        __Template_Cap                   TopLayer    C0402                            -1875.000     -145.000      90       "CAP, CER, X7R, 0.015uF, 25V, 10%, 0402, 0.56mm T"
C97        __Template_Cap                   TopLayer    C0402                            -1675.000     -135.000      270      "CAP, CER, X5R, 0.1uF, 10%, 50V, 0402, 0.55mm"
