Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Barkour Robot\Gebru\Project Outputs for Gebru\Pick Place\Pick Place for Gebru.txt

========================================================================================================================
File Design Information:

Date:       08/05/24
Time:       14:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                         Layer       Footprint                                Center-X(mil) Center-Y(mil) Rotation Description
M8         "3.7mm hole 5mm pad"            TopLayer    3.7hole5pad                              -1500.000     0.000         0        "3.7mm hole 5mm pad"
M4         "3.3mm hole 6.5mm pad"          TopLayer    3.3HOLE6.5PAD                            1968.504      0.000         0        "3.3mm hole 6.5mm pad"
MTH6       9774040960R                     TopLayer    9774040960R                              -1612.598     1129.134      0        "Spacer Material: Steel Mounting: SMT Series: WA-SMST For ø: 3.3 mm"
MTH5       9774040960R                     TopLayer    9774040960R                              -1129.134     -1612.598     0        "Spacer Material: Steel Mounting: SMT Series: WA-SMST For ø: 3.3 mm"
MTH7       9774040960R                     TopLayer    9774040960R                              1129.134      1612.598      0        "Spacer Material: Steel Mounting: SMT Series: WA-SMST For ø: 3.3 mm"
M3         "Keystone 8737 binding post"    TopLayer    Keystone_8737                            840.000       -1350.000     90       "1.5mm hole 5.6mm pad"
M2         "Keystone 8737 binding post"    TopLayer    Keystone_8737                            1120.000      -1120.000     135      "1.5mm hole 5.6mm pad"
M1         "Keystone 8737 binding post"    TopLayer    Keystone_8737                            1350.000      -835.000      135      "1.5mm hole 5.6mm pad"
R24C       3.9R                            TopLayer    RES_0805_2012_RF                         573.425       -1203.425     135      "High power thick film 0805 resistor such as Vishay CRCW-HP e3 series CRCW08053R90DKEAHP"
R24B       3.9R                            TopLayer    RES_0805_2012_RF                         956.575       -961.575      135      "High power thick film 0805 resistor such as Vishay CRCW-HP e3 series CRCW08053R90DKEAHP"
R24A       3.9R                            TopLayer    RES_0805_2012_RF                         1175.000      -515.000      135      "High power thick film 0805 resistor such as Vishay CRCW-HP e3 series CRCW08053R90DKEAHP"
R5         ""                              BottomLayer RES_0402_1005_RF                         55.000        -1750.000     180      "RES, 100, 1%, 1/10W, 0402, AUTO GRADE"
C2C        2.2nF                           TopLayer    CAP_0603_1608_RF                         685.000       -960.000      45       "Automotive grade SMD 0603 capacitor such as Vishay GA....31G series. 2.2nF 0603 10% X7R 100V"
C2B        2.2nF                           TopLayer    CAP_0603_1608_RF                         1050.000      -630.000      315      "Automotive grade SMD 0603 capacitor such as Vishay GA....31G series. 2.2nF 0603 10% X7R 100V"
C2A        2.2nF                           TopLayer    CAP_0603_1608_RF                         1365.000      -320.000      315      "Automotive grade SMD 0603 capacitor such as Vishay GA....31G series. 2.2nF 0603 10% X7R 100V"
C1C        1nF                             TopLayer    CAP_0603_1608_RF                         680.000       -1230.000     225      "Automotive grade SMD 0603 capacitor such as Vishay GA....31G series. 1nF 0603 10% X7R 100V"
C1B        1nF                             TopLayer    CAP_0603_1608_RF                         1035.000      -920.000      225      "Automotive grade SMD 0603 capacitor such as Vishay GA....31G series. 1nF 0603 10% X7R 100V"
C1A        1nF                             TopLayer    CAP_0603_1608_RF                         1265.000      -605.000      135      "Automotive grade SMD 0603 capacitor such as Vishay GA....31G series. 1nF 0603 10% X7R 100V"
J2         DIRECT_SOLDER_8_PIN             TopLayer    8_PIN_DIRECT_25mil_1.5mm                 1475.000      1200.000      135      ""
R4         ""                              TopLayer    R1206                                    -690.000      -540.000      45       "Resistor, 3.30K Ohms, 1206, 0.25W, ±1%"
R1         ""                              TopLayer    R1206                                    -880.000      -715.000      225      "Resistor, 3.30K Ohms, 1206, 0.25W, ±1%"
M10        "1.3mm hole 5mm pad"            TopLayer    1.7hole5padRD                            1550.000      -180.000      0        "1.3mm hole 5mm pad"
M9         "1.3mm hole 5mm pad"            TopLayer    1.7hole5padSQ                            1550.000      180.000       0        "1.3mm hole 5mm pad"
R72        ""                              TopLayer    R0805                                    925.000       1765.000      0        "Resistor, 432K Ohms, 0805, 0.125W, ±1%"
R71        ""                              TopLayer    R0805                                    -895.000      -1600.000     270      "Resistor, 432K Ohms, 0805, 0.125W, ±1%"
R56        ""                              TopLayer    R0805                                    -1260.000     1115.000      180      "Resistor, 432K Ohms, 0805, 0.125W, ±1%"
C73        __Template_Cap                  TopLayer    C0402                                    925.000       1700.000      180      "CAP, CER, X7R, 0.01uF, 50V, 20%, 0402, 0.56mm T"
C61        __Template_Cap                  TopLayer    C0402                                    -835.000      -1590.000     90       "CAP, CER, X7R, 0.01uF, 50V, 20%, 0402, 0.56mm T"
C14        __Template_Cap                  TopLayer    C0402                                    -1265.000     1055.000      0        "CAP, CER, X7R, 0.01uF, 50V, 20%, 0402, 0.56mm T"
D3         STO                             TopLayer    LEDSC160X80X90L40-BLUE                   -325.000      -670.000      180      "LED, BLUE, 470nm, 15mA, DIFFUSED, 0603"
D2         POWER                           TopLayer    LEDSC160X80X90L40-GREEN                  -435.000      -605.000      180      "LED, GREEN, 569nm, 30mA, CLEAR, 0603"
TP10       TEST_KEYSTONE5015               TopLayer    TP_KEYSTONE_5015                         -1425.000     -1405.000     270      "PC TEST POINT MINIATURE SMT"
TP9        TEST_KEYSTONE5015               TopLayer    TP_KEYSTONE_5015                         -310.000      -1490.000     180      "PC TEST POINT MINIATURE SMT"
TP8        TEST_KEYSTONE5015               TopLayer    TP_KEYSTONE_5015                         -215.000      -1985.000     180      "PC TEST POINT MINIATURE SMT"
TP7        TEST_KEYSTONE5015               TopLayer    TP_KEYSTONE_5015                         -590.000      -1490.000     180      "PC TEST POINT MINIATURE SMT"
TP6        TEST_KEYSTONE5015               TopLayer    TP_KEYSTONE_5015                         -495.000      -1985.000     180      "PC TEST POINT MINIATURE SMT"
