Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Barkour Robot\Holberton\Project Outputs for Holberton\Pick Place\Pick Place for Holberton.txt

========================================================================================================================
File Design Information:

Date:       13/05/24
Time:       14:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                                           Layer       Footprint                                Center-X(mil) Center-Y(mil) Rotation Description
Q6         "Bipolar NPN 3 Pins Transistor Gummel-Poon Model" BottomLayer SOT23-3                                  -525.000      1160.000      0        "TRANS NPN 40V 0.2A SOT23-3"
R163       0                                                 BottomLayer R0402                                    -500.004      955.000       180      "RES, 0, JUMPER, 1/16W, 0402"
R27        __Template_Resistor                               BottomLayer R0201                                    -570.000      1015.000      270      "RES, 10K, 1%, 1/20W, 0201, AUTOGRADE"
R25        0                                                 BottomLayer R0402                                    -485.000      1015.000      90       "RES, 0, JUMPER, 1/16W, 0402"
R24        0                                                 BottomLayer R0402                                    -660.000      910.000       270      "RES, 0, JUMPER, 1/16W, 0402"
R22        0                                                 BottomLayer R0402                                    -625.000      910.000       270      "RES, 0, JUMPER, 1/16W, 0402"
U19        MPS_MA732GQ-Z                                     BottomLayer MPS_MA732GQ-Z                            0.000         0.000         180      "14-BIT, DIGITAL, CONTACTLESS ANG"
RT1        __Template_Thermistor                             BottomLayer R0402                                    -595.005      -930.000      180      "SENSOR, THERMISTOR, NTC, 10K, 1%, 3380K, 100mW, 0402"
RT3        __Template_Thermistor                             BottomLayer R0402                                    -10.002       -954.998      135      "SENSOR, THERMISTOR, NTC, 10K, 1%, 3380K, 100mW, 0402"
RT2        __Template_Thermistor                             BottomLayer R0402                                    399.998       -964.998      135      "SENSOR, THERMISTOR, NTC, 10K, 1%, 3380K, 100mW, 0402"
LED11      APHHS1005SURCK                                    TopLayer    LED_APHHS1005SURCK                       75.000        140.000       0        "LED RED CLEAR CHIP SMD"
LED12      SML-P11DTT86R                                     TopLayer    LED_SML-P11DTT86R                        75.000        90.000        0        "LED ORANGE CLEAR 1006 SMD"
J5         DNP                                               TopLayer    MOLEX_1053092302                         -832.303      -1021.027     320      "CONN HEADER VERT 2POS 2.5MM"
R70        __Template_Resistor                               BottomLayer R0201                                    -1195.000     800.000       0        "RES, 1K, 1%, 1/20W, 0201, AUTOGRADE"
LED9       __Template_LED_ORANGE_AK                          TopLayer    LED_APG0603SYC-TT                        -1194.563     800.445       330      "LED, ORANGE, 611NM, 10mA, CLEAR, 0201"
U9         SENSOR_ST_IIS2MDCTR                               TopLayer    12-LGA                                   105.005       230.000       180      "SENSOR MR I2C/SPI 12LGA"
R96        __Template_Resistor                               BottomLayer R0201                                    115.000       230.000       270      "RES, 10K, 1%, 1/20W, 0201, AUTOGRADE"
C103       __Template_Cap                                    BottomLayer C0402                                    94.995        320.000       180      "CAP CER 0402 220NF 16VDC X7R"
C112       __Template_Cap_Auto                               BottomLayer C0201                                    30.000        235.000       90       "CAP, CER, X6S, 0.1uF, 10V, 10%, 0201, AUTOGRADE"
