Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Barkour Robot\WirelessSTO\Receiver\Project Outputs for Hopper\Pick Place\Pick Place for Hopper.txt

========================================================================================================================
File Design Information:

Date:       07/05/24
Time:       15:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment       Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description
J21        62001011821   TopLayer    62001011821                   1712.598      78.740        0        ""
J20        62001011821   TopLayer    62001011821                   1712.598      944.882       180      ""
C7         100nF         TopLayer    CAP_0603_1608_RF              1523.622      464.567       270      Capacitor
R32        100k          TopLayer    RES_0402_1005_RF              1929.134      1314.960      270      "Generic Resistor"
R31        100k          TopLayer    RES_0402_1005_RF              1728.347      1314.960      270      "Generic Resistor"
R30        100k          TopLayer    RES_0402_1005_RF              1527.559      1314.960      270      "Generic Resistor"
R29        100k          TopLayer    RES_0402_1005_RF              1326.772      1314.960      270      "Generic Resistor"
R28        100k          TopLayer    RES_0402_1005_RF              1125.984      1312.992      270      "Generic Resistor"
R27        10k           TopLayer    RES_0402_1005_RF              1374.016      763.779       90       "Generic Resistor"
R26        3k3           TopLayer    RES_0402_1005_RF              669.291       846.457       270      "Generic Resistor"
R25        13k           TopLayer    RES_0402_1005_RF              570.866       846.457       270      "Generic Resistor"
R24        10k           TopLayer    RES_0402_1005_RF              718.504       846.457       90       "Generic Resistor"
Q6         2N7002,215    TopLayer    NEXPERIA_SOT-23-3             1830.709      1295.276      90       "MOSFET N-CH 60V 300MA SOT-23"
Q5         2N7002,215    TopLayer    NEXPERIA_SOT-23-3             1629.921      1295.276      90       "MOSFET N-CH 60V 300MA SOT-23"
Q4         2N7002,215    TopLayer    NEXPERIA_SOT-23-3             1228.346      1295.276      90       "MOSFET N-CH 60V 300MA SOT-23"
Q3         2N7002,215    TopLayer    NEXPERIA_SOT-23-3             1027.559      1295.276      90       "MOSFET N-CH 60V 300MA SOT-23"
Q2         2N7002,215    TopLayer    NEXPERIA_SOT-23-3             1429.134      1295.276      90       "MOSFET N-CH 60V 300MA SOT-23"
L1         SRR1050A-180Y TopLayer    INDUCTOR_SMD_SHIELDED_10x10mm 728.346       1250.000      180      "Inductor Power Shielded Wirewound 18uH 30% 100KHz Ferrite 3.1A 0.051Ohm DCR Automotive T/R"
