Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Barkour Robot\Jackson\Project Outputs for Jackson\Pick Place\Pick Place for Jackson.txt

========================================================================================================================
File Design Information:

Date:       07/05/24
Time:       15:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment              Layer       Footprint                   Center-X(mil) Center-Y(mil) Rotation Description
C614       GRM155R70J105KA12D   TopLayer    FP-GRM155-0_05-MFG          390.621       1020.577      180      "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1.0uF, X7R, 15%, 10%, 6.3V"
R212       ERJ-2GEJ102X         TopLayer    RESC1005X40X25NL05T05       648.901       1362.205      90       ""
R211       ERJ-2GEJ102X         TopLayer    RESC1005X40X25NL05T05       611.772       1362.205      90       ""
C608       C0402C103K3RACTU     BottomLayer FP-C0402-BB-MFG             668.355       1267.735      0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 25volts 10000pF X7R 10%"
C607       C0402C103K3RACTU     BottomLayer FP-C0402-BB-MFG             667.515       1306.634      0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 25volts 10000pF X7R 10%"
R620       ERJ-2RKF1004X        BottomLayer RESC1005X40X25LL05T05       1230.315      1095.472      180      "Chip Resistor, 1 MOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
R613       ERA2AEB683X          BottomLayer RESC1005X40X25LL10T10       531.496       749.016       90       ""
R612       ERA2AEB683X          BottomLayer RESC1005X40X25LL10T10       496.063       749.016       90       ""
R611       ERA2AEB683X          TopLayer    RESC1005X40X25LL10T10       435.039       732.284       90       ""
R610       ERA2AEB683X          TopLayer    RESC1005X40X25LL10T10       470.472       732.284       90       ""
C621       GJM1555C1H180JB01D   BottomLayer FP-GJM155-0_05-IPC_B        1147.638      1035.433      270      "Multi-Layer Ceramic Capacitor 18pF C0G  ±5% 0402 Paper T/R"
C620       GJM1555C1H180JB01D   BottomLayer FP-GJM155-0_05-IPC_B        1362.205      1000.000      90       "Multi-Layer Ceramic Capacitor 18pF C0G  ±5% 0402 Paper T/R"
C613       C0402C103K3RACTU     BottomLayer FP-C0402-BB-MFG             531.496       688.976       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 25volts 10000pF X7R 10%"
C612       C0402C103K3RACTU     BottomLayer FP-C0402-BB-MFG             496.063       688.976       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 25volts 10000pF X7R 10%"
C611       C0402C103K3RACTU     TopLayer    FP-C0402-BB-MFG             435.039       670.276       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 25volts 10000pF X7R 10%"
C610       C0402C103K3RACTU     TopLayer    FP-C0402-BB-MFG             486.221       685.039       180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 25volts 10000pF X7R 10%"
C606       GRM155R70J105KA12D   TopLayer    FP-GRM155-0_05-MFG          1165.354      972.441       0        "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1.0uF, X7R, 15%, 10%, 6.3V"
C605       GRM155R70J105KA12D   TopLayer    FP-GRM155-0_05-MFG          960.630       1397.638      0        "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1.0uF, X7R, 15%, 10%, 6.3V"
