Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Barkour Robot\Rus\Project Outputs for Rus\Pick Place\Pick Place for Rus.txt

========================================================================================================================
File Design Information:

Date:       07/05/24
Time:       15:31
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint                         Center-X(mil) Center-Y(mil) Rotation Description
F2         0154007.DR         TopLayer    FP-0154-MFG                       2675.000      195.000       0        "FUSE BRD MNT 7A 125VAC/VDC 2SMD"
F102A      0154007.DR         BottomLayer FP-0154-MFG                       3680.000      1350.000      270      "FUSE BRD MNT 7A 125VAC/VDC 2SMD"
F101A      0154007.DR         BottomLayer FP-0154-MFG                       2110.000      1185.000      90       "FUSE BRD MNT 7A 125VAC/VDC 2SMD"
R4         RC0603JR-070RL     BottomLayer RESC1608X55X25ML10T15             1495.000      2545.000      90       "Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
F1         0456040.DRSDE      TopLayer    FUSC12245X450N                    225.000       595.000       90       "Electric Fuse, Fast Blow, 40A, 250VAC, 80VDC, 150A (IR), Surface Mount, NANO"
MP4        "M3 x 4mm"         BottomLayer 9774040360                        4169.291      161.417       180      "WA-SMSI SMT Steel Spacer with internal Thread, OD 6mm, M3 x 4mm"
MP3        "M3 x 4mm"         BottomLayer 9774040360                        4169.291      2830.709      180      "WA-SMSI SMT Steel Spacer with internal Thread, OD 6mm, M3 x 4mm"
MP1        "M3 x 4mm"         BottomLayer 9774040360                        161.417       161.417       180      "WA-SMSI SMT Steel Spacer with internal Thread, OD 6mm, M3 x 4mm"
R214       10k                BottomLayer RES_0402_1005_RF                  2205.000      325.000       0        "Generic Resistor"
R210       100R               BottomLayer RES_0402_1005_RF                  2205.000      275.000       180      "Generic Resistor"
R208       100k               BottomLayer RES_0402_1005_RF                  2205.000      375.000       180      "Generic Resistor"
P3         "Header 2"         TopLayer    HDR1X2                            4035.433      835.827       270      "Header, 2-Pin"
RT201      B57238S0250M000    TopLayer    RES_THERM_TH_16.0_DISC_LEADED     3222.008      195.000       0        "NTC Thermistor, 25ohm, Through Hole Mount"
R228       47k                BottomLayer RES_0603_1608_RF                  2940.000      855.000       180      "Generic Resistor"
R227       10k                BottomLayer RES_0402_1005_RF                  2360.000      235.000       90       "Generic Resistor"
R226       100k               BottomLayer RES_0402_1005_RF                  2415.000      235.000       270      "Generic Resistor"
Q210       BSS84W-7-F         BottomLayer DIODES_SOT-323-3                  2995.000      960.000       90       "P-Channel 50 V 10 Ohm Enhancement Mode Transistor SOT-323"
Q209       CSD19532Q5B        TopLayer    TI_SON_5x6                        1709.429      320.925       90       "100-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 4.9 mOhm 8-VSON-CLIP -55 to 150"
Q208       BSS84W-7-F         BottomLayer DIODES_SOT-323-3                  2570.000      220.000       0        "P-Channel 50 V 10 Ohm Enhancement Mode Transistor SOT-323"
J14        105314-1204        TopLayer    MOLEX_1053141204                  3995.669      1851.181      90       "Nano-Fit Right Angle Header; Through Hole; 2.50mm; Dual Row; 4 Circuit; Gold Plated"
D207       1N4148WS-7-F       BottomLayer SOD323                            2940.000      785.000       0        "Signal Diode VR=75V IF=150mA Trr=4ns P=200mW"
D206       BZX8450-C33R       BottomLayer NEXPERIA_SOT-23-3                 3190.000      935.000       180      "Zener Diodes BZX8450-C33/SOT23/TO-236AB"
C210       220nF              BottomLayer CAP_0603_1608_RF                  2475.000      235.000       90       "Generic Capacitor"
R3         RC0603JR-070RL     BottomLayer RESC1608X55X25ML10T15             1060.000      2440.000      90       "Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
P2         "Header 2"         TopLayer    HDR1X2                            3917.323      835.827       270      "Header, 2-Pin"
R5         4R7                BottomLayer RES_2512_6432                     4060.000      564.685       270      "Generic Resistor"
P1         "Header 2"         TopLayer    HDR1X2                            3799.213      835.827       270      "Header, 2-Pin"
U102       LTC4355IDE#PBF     BottomLayer DFN-14_DE_LIT                     2345.000      1645.000      0        "Positive High Voltage Ideal Diode-OR with Input Supply and Fuse Monitors IC OR CTRLR SRC SELECT 14DFN"
J4         430450401          TopLayer    MOLEX_430450401                   879.528       2736.220      270      "Header, 2 Row, Right-Angle, Snap-In Lock, 4 Pin, Gold Plate, SMT/Glow Wire Compatible"
J13        105314-1204        TopLayer    MOLEX_1053141204                  3690.157      315.354       0        "Nano-Fit Right Angle Header; Through Hole; 2.50mm; Dual Row; 4 Circuit; Gold Plated"
J12        1053141310         TopLayer    MOLEX_1053141110                  970.866       1968.504      270      "Nano-Fit Right Angle Header; Through Hole; 2.50mm; Dual Row; 10 Circuit; Gold Plating"
Q102       ?SI4090BDY-T1-GE3? BottomLayer SOIC127P600X175-8N                2030.000      2015.000      270      ""
Q101       ?SI4090BDY-T1-GE3? BottomLayer SOIC127P600X175-8N                2030.000      1620.000      90       ""
J11        105314-1206        TopLayer    MOLEX_1053141206                  1732.284      2683.465      180      "Nano-Fit Right Angle Header; Through Hole; 2.50mm; Dual Row; 6 Circuit; Gold Plated"
J10        105314-1206        TopLayer    MOLEX_1053141206                  1279.528      2683.465      180      "Nano-Fit Right Angle Header; Through Hole; 2.50mm; Dual Row; 6 Circuit; Gold Plated"
D101       SMBT70A-13-F       BottomLayer SMBT70A-13-F                      1295.000      1695.354      270      "SMBJ Series 70 V 600 W Surface Mount Uni-Directional TVS Diode - DO-214AA"
2          9774040960R        BottomLayer 9774040960R                       1511.808      2169.288      90       "Spacer Material: Steel Mounting: SMT Series: WA-SMST For ø: 3.3 mm"
U201       LM393PT            BottomLayer ST_TSSOP-8                        2425.000      405.000       180      "Comparator Dual 18V/36V 8-Pin TSSOP T/R"
